epoch,loc_loss,loc_acc,mem_loss,mem_acc
1,1.8017781622269575,34.43029220217855,0.5077081879272181,76.93504697135612
2,1.5365445526207195,44.84467754019941,0.39803147732334976,84.50809751599331
3,1.4371586371870602,48.85021036251513,0.3827460542978609,85.4417612817705
4,1.3857970299089657,50.544637196703356,0.3718331528498846,86.05267707913089
5,1.3183460822876762,53.51852919140108,0.368458345751552,86.32931819491671
6,1.2678381195839714,55.24753616506253,0.35752010860425587,86.88260042648838
7,1.2258380826781778,57.01112327819722,0.354436654049684,87.00939427122356
8,1.188193195444696,58.54993948475592,0.3540783663663794,86.91141720938275
9,1.1686897729249561,58.91303094922483,0.3519921351005049,87.10160797648551
10,1.1421189803410978,60.30776324131174,0.34977082163095474,87.07279119359114
11,1.1358293067006504,60.70543484525388,0.3417037785710657,87.54538643305861
12,1.1278441894580336,60.79188519393695,0.34139375531059857,87.38977580542908
13,1.106530734721352,61.69673217681978,0.33866665479453173,87.73557720016137
14,1.0966017272542505,62.019480145236585,0.3338574369383209,88.02374502910494
15,1.087535580729737,62.38833496628436,0.33570381944232125,87.74710391331911
16,1.0815191816757708,63.010777476802495,0.33413526317214265,87.74134055674024
17,1.0587010164471233,63.875280963633216,0.3275290119516499,88.01221831594721
18,1.0579754096620224,63.31623537548268,0.32638932041385593,87.99492824621059
19,1.0630599803784315,63.54676963863754,0.33196505586452346,88.00069160278946
20,1.051728483508615,63.696616909688196,0.32679853325381,88.0929053080514
21,1.0346963440670687,64.11157858336696,0.3209504338310045,88.18511901331335
22,1.0213808158741278,64.84352486888363,0.3230628693366752,88.2139357962077
23,1.0195757413611692,64.75707452020056,0.31955012711970243,88.28309607515416
24,1.0135907890165554,65.20085297677367,0.3221342864939395,88.22546250936546
25,0.9957451675744617,65.58123451097919,0.3154467085705084,88.51939369488791
26,0.9944127846290084,65.29306668203562,0.3148905288647203,88.36378306725837
27,0.9827728705371127,66.04230303728892,0.310940422994249,88.62889746988645
28,0.9696625243215,66.53795170307187,0.3067051039679962,88.83637830672583
